crime_code,crime_description,crime_domain
269,BURGLARY,Other Crime
524,ARSON,Fire Accident
404,CYBERCRIME,Other Crime
191,VANDALISM,Other Crime
369,KIDNAPPING,Other Crime
517,IDENTITY THEFT,Violent Crime
229,ROBBERY,Violent Crime
154,VEHICLE - STOLEN,Violent Crime
197,ASSAULT,Violent Crime
421,FRAUD,Other Crime
305,ROBBERY,Violent Crime
150,TRAFFIC VIOLATION,Traffic Fatality
542,PUBLIC INTOXICATION,Other Crime
438,VANDALISM,Other Crime
498,PUBLIC INTOXICATION,Other Crime
345,ROBBERY,Violent Crime
108,HOMICIDE,Other Crime
219,VEHICLE - STOLEN,Violent Crime
219,BURGLARY,Other Crime
510,CYBERCRIME,Other Crime
597,FRAUD,Other Crime
272,SEXUAL ASSAULT,Violent Crime
413,PUBLIC INTOXICATION,Other Crime
355,DRUG OFFENSE,Other Crime
523,IDENTITY THEFT,Violent Crime
486,SEXUAL ASSAULT,Violent Crime
292,IDENTITY THEFT,Violent Crime
455,DRUG OFFENSE,Other Crime
515,PUBLIC INTOXICATION,Other Crime
566,EXTORTION,Other Crime
419,ASSAULT,Violent Crime
250,VEHICLE - STOLEN,Violent Crime
597,FRAUD,Other Crime
583,VEHICLE - STOLEN,Violent Crime
342,DOMESTIC VIOLENCE,Violent Crime
417,ARSON,Fire Accident
169,PUBLIC INTOXICATION,Other Crime
464,ARSON,Fire Accident
500,ILLEGAL POSSESSION,Other Crime
183,COUNTERFEITING,Other Crime
270,HOMICIDE,Other Crime
259,EXTORTION,Other Crime
184,FIREARM OFFENSE,Fire Accident
353,BURGLARY,Other Crime
235,VANDALISM,Other Crime
287,DRUG OFFENSE,Other Crime
257,ILLEGAL POSSESSION,Other Crime
537,TRAFFIC VIOLATION,Traffic Fatality
277,VEHICLE - STOLEN,Violent Crime
321,KIDNAPPING,Other Crime
432,VANDALISM,Other Crime
129,SEXUAL ASSAULT,Violent Crime
347,FRAUD,Other Crime
127,ASSAULT,Violent Crime
117,FIREARM OFFENSE,Fire Accident
339,IDENTITY THEFT,Violent Crime
374,SHOPLIFTING,Other Crime
111,ROBBERY,Violent Crime
331,ARSON,Fire Accident
295,IDENTITY THEFT,Violent Crime
309,HOMICIDE,Other Crime
465,ILLEGAL POSSESSION,Other Crime
406,VANDALISM,Other Crime
278,FRAUD,Other Crime
569,PUBLIC INTOXICATION,Other Crime
445,ASSAULT,Violent Crime
465,KIDNAPPING,Other Crime
404,CYBERCRIME,Other Crime
270,DOMESTIC VIOLENCE,Violent Crime
113,FIREARM OFFENSE,Fire Accident
278,ILLEGAL POSSESSION,Other Crime
487,ASSAULT,Violent Crime
172,IDENTITY THEFT,Violent Crime
165,PUBLIC INTOXICATION,Other Crime
514,CYBERCRIME,Other Crime
262,COUNTERFEITING,Other Crime
558,IDENTITY THEFT,Violent Crime
157,SHOPLIFTING,Other Crime
241,DRUG OFFENSE,Other Crime
311,ILLEGAL POSSESSION,Other Crime
248,IDENTITY THEFT,Violent Crime
523,KIDNAPPING,Other Crime
238,DOMESTIC VIOLENCE,Violent Crime
109,DOMESTIC VIOLENCE,Violent Crime
448,COUNTERFEITING,Other Crime
588,HOMICIDE,Other Crime
236,VEHICLE - STOLEN,Violent Crime
509,ASSAULT,Violent Crime
321,COUNTERFEITING,Other Crime
420,CYBERCRIME,Other Crime
589,SHOPLIFTING,Other Crime
492,ARSON,Fire Accident
312,SEXUAL ASSAULT,Violent Crime
234,VANDALISM,Other Crime
470,VANDALISM,Other Crime
518,FRAUD,Other Crime
295,DRUG OFFENSE,Other Crime
342,TRAFFIC VIOLATION,Traffic Fatality
352,COUNTERFEITING,Other Crime
305,TRAFFIC VIOLATION,Traffic Fatality
245,SEXUAL ASSAULT,Violent Crime
438,DRUG OFFENSE,Other Crime
144,ROBBERY,Violent Crime
292,BURGLARY,Other Crime
134,FIREARM OFFENSE,Fire Accident
331,ILLEGAL POSSESSION,Other Crime
191,FRAUD,Other Crime
584,DOMESTIC VIOLENCE,Violent Crime
341,TRAFFIC VIOLATION,Traffic Fatality
541,CYBERCRIME,Other Crime
133,SEXUAL ASSAULT,Violent Crime
422,SEXUAL ASSAULT,Violent Crime
151,FRAUD,Other Crime
287,FRAUD,Other Crime
541,VANDALISM,Other Crime
236,IDENTITY THEFT,Violent Crime
415,EXTORTION,Other Crime
151,CYBERCRIME,Other Crime
268,KIDNAPPING,Other Crime
381,IDENTITY THEFT,Violent Crime
249,PUBLIC INTOXICATION,Other Crime
389,DOMESTIC VIOLENCE,Violent Crime
235,ILLEGAL POSSESSION,Other Crime
562,DOMESTIC VIOLENCE,Violent Crime
287,PUBLIC INTOXICATION,Other Crime
316,EXTORTION,Other Crime
367,ARSON,Fire Accident
471,HOMICIDE,Other Crime
365,COUNTERFEITING,Other Crime
484,FRAUD,Other Crime
257,DRUG OFFENSE,Other Crime
427,KIDNAPPING,Other Crime
340,SHOPLIFTING,Other Crime
246,VEHICLE - STOLEN,Violent Crime
376,COUNTERFEITING,Other Crime
542,ASSAULT,Violent Crime
257,EXTORTION,Other Crime
573,PUBLIC INTOXICATION,Other Crime
148,COUNTERFEITING,Other Crime
439,FIREARM OFFENSE,Fire Accident
598,IDENTITY THEFT,Violent Crime
239,VEHICLE - STOLEN,Violent Crime
267,SEXUAL ASSAULT,Violent Crime
163,SHOPLIFTING,Other Crime
572,COUNTERFEITING,Other Crime
561,FRAUD,Other Crime
336,TRAFFIC VIOLATION,Traffic Fatality
563,BURGLARY,Other Crime
218,VEHICLE - STOLEN,Violent Crime
276,KIDNAPPING,Other Crime
570,FRAUD,Other Crime
307,ROBBERY,Violent Crime
153,CYBERCRIME,Other Crime
340,HOMICIDE,Other Crime
365,VANDALISM,Other Crime
269,COUNTERFEITING,Other Crime
247,VEHICLE - STOLEN,Violent Crime
190,VANDALISM,Other Crime
429,IDENTITY THEFT,Violent Crime
547,ARSON,Fire Accident
136,HOMICIDE,Other Crime
254,ASSAULT,Violent Crime
514,TRAFFIC VIOLATION,Traffic Fatality
105,ARSON,Fire Accident
561,CYBERCRIME,Other Crime
583,CYBERCRIME,Other Crime
418,FIREARM OFFENSE,Fire Accident
466,FIREARM OFFENSE,Fire Accident
402,COUNTERFEITING,Other Crime
188,VANDALISM,Other Crime
512,FRAUD,Other Crime
388,SEXUAL ASSAULT,Violent Crime
423,ROBBERY,Violent Crime
399,ILLEGAL POSSESSION,Other Crime
432,EXTORTION,Other Crime
262,IDENTITY THEFT,Violent Crime
293,DOMESTIC VIOLENCE,Violent Crime
164,EXTORTION,Other Crime
342,FIREARM OFFENSE,Fire Accident
182,SHOPLIFTING,Other Crime
362,TRAFFIC VIOLATION,Traffic Fatality
123,ILLEGAL POSSESSION,Other Crime
233,FIREARM OFFENSE,Fire Accident
581,PUBLIC INTOXICATION,Other Crime
230,EXTORTION,Other Crime
402,IDENTITY THEFT,Violent Crime
151,EXTORTION,Other Crime
366,KIDNAPPING,Other Crime
542,BURGLARY,Other Crime
145,COUNTERFEITING,Other Crime
142,IDENTITY THEFT,Violent Crime
261,SEXUAL ASSAULT,Violent Crime
152,COUNTERFEITING,Other Crime
430,IDENTITY THEFT,Violent Crime
203,ILLEGAL POSSESSION,Other Crime
508,KIDNAPPING,Other Crime
590,ROBBERY,Violent Crime
491,SHOPLIFTING,Other Crime
586,DRUG OFFENSE,Other Crime
292,PUBLIC INTOXICATION,Other Crime
584,IDENTITY THEFT,Violent Crime
515,VEHICLE - STOLEN,Violent Crime
350,TRAFFIC VIOLATION,Traffic Fatality
546,ASSAULT,Violent Crime
115,ASSAULT,Violent Crime
254,TRAFFIC VIOLATION,Traffic Fatality
410,TRAFFIC VIOLATION,Traffic Fatality
217,KIDNAPPING,Other Crime
189,FIREARM OFFENSE,Fire Accident
180,FRAUD,Other Crime
215,BURGLARY,Other Crime
481,ARSON,Fire Accident
577,ASSAULT,Violent Crime
212,SHOPLIFTING,Other Crime
244,VEHICLE - STOLEN,Violent Crime
363,IDENTITY THEFT,Violent Crime
550,ILLEGAL POSSESSION,Other Crime
484,EXTORTION,Other Crime
515,SHOPLIFTING,Other Crime
307,BURGLARY,Other Crime
289,BURGLARY,Other Crime
562,ASSAULT,Violent Crime
568,DOMESTIC VIOLENCE,Violent Crime
262,VANDALISM,Other Crime
546,TRAFFIC VIOLATION,Traffic Fatality
199,IDENTITY THEFT,Violent Crime
513,SEXUAL ASSAULT,Violent Crime
256,ROBBERY,Violent Crime
390,IDENTITY THEFT,Violent Crime
206,ARSON,Fire Accident
491,DOMESTIC VIOLENCE,Violent Crime
139,PUBLIC INTOXICATION,Other Crime
126,TRAFFIC VIOLATION,Traffic Fatality
431,FIREARM OFFENSE,Fire Accident
528,TRAFFIC VIOLATION,Traffic Fatality
282,COUNTERFEITING,Other Crime
577,SEXUAL ASSAULT,Violent Crime
494,DOMESTIC VIOLENCE,Violent Crime
395,DRUG OFFENSE,Other Crime
276,ARSON,Fire Accident
560,DRUG OFFENSE,Other Crime
217,ASSAULT,Violent Crime
389,BURGLARY,Other Crime
361,BURGLARY,Other Crime
269,DOMESTIC VIOLENCE,Violent Crime
106,COUNTERFEITING,Other Crime
330,VANDALISM,Other Crime
190,ARSON,Fire Accident
446,FRAUD,Other Crime
503,TRAFFIC VIOLATION,Traffic Fatality
471,ARSON,Fire Accident
526,FRAUD,Other Crime
589,SHOPLIFTING,Other Crime
344,VANDALISM,Other Crime
470,ROBBERY,Violent Crime
506,BURGLARY,Other Crime
187,ARSON,Fire Accident
570,DRUG OFFENSE,Other Crime
358,ARSON,Fire Accident
586,ILLEGAL POSSESSION,Other Crime
534,COUNTERFEITING,Other Crime
225,VANDALISM,Other Crime
331,SHOPLIFTING,Other Crime
359,SHOPLIFTING,Other Crime
574,COUNTERFEITING,Other Crime
477,SEXUAL ASSAULT,Violent Crime
419,DOMESTIC VIOLENCE,Violent Crime
167,PUBLIC INTOXICATION,Other Crime
101,ROBBERY,Violent Crime
356,KIDNAPPING,Other Crime
390,CYBERCRIME,Other Crime
559,ASSAULT,Violent Crime
344,SEXUAL ASSAULT,Violent Crime
385,BURGLARY,Other Crime
236,DOMESTIC VIOLENCE,Violent Crime
277,ILLEGAL POSSESSION,Other Crime
343,TRAFFIC VIOLATION,Traffic Fatality
387,PUBLIC INTOXICATION,Other Crime
168,VEHICLE - STOLEN,Violent Crime
270,CYBERCRIME,Other Crime
205,ILLEGAL POSSESSION,Other Crime
272,EXTORTION,Other Crime
226,HOMICIDE,Other Crime
562,BURGLARY,Other Crime
328,CYBERCRIME,Other Crime
224,DRUG OFFENSE,Other Crime
503,ASSAULT,Violent Crime
418,BURGLARY,Other Crime
568,ILLEGAL POSSESSION,Other Crime
502,CYBERCRIME,Other Crime
227,ILLEGAL POSSESSION,Other Crime
583,KIDNAPPING,Other Crime
417,IDENTITY THEFT,Violent Crime
512,FRAUD,Other Crime
511,ILLEGAL POSSESSION,Other Crime
392,KIDNAPPING,Other Crime
151,ILLEGAL POSSESSION,Other Crime
213,COUNTERFEITING,Other Crime
339,EXTORTION,Other Crime
286,FIREARM OFFENSE,Fire Accident
282,SEXUAL ASSAULT,Violent Crime
552,DOMESTIC VIOLENCE,Violent Crime
510,DRUG OFFENSE,Other Crime
558,BURGLARY,Other Crime
432,BURGLARY,Other Crime
103,BURGLARY,Other Crime
456,DRUG OFFENSE,Other Crime
148,DRUG OFFENSE,Other Crime
349,IDENTITY THEFT,Violent Crime
587,IDENTITY THEFT,Violent Crime
102,SEXUAL ASSAULT,Violent Crime
136,ILLEGAL POSSESSION,Other Crime
203,COUNTERFEITING,Other Crime
159,IDENTITY THEFT,Violent Crime
210,COUNTERFEITING,Other Crime
454,TRAFFIC VIOLATION,Traffic Fatality
118,IDENTITY THEFT,Violent Crime
243,COUNTERFEITING,Other Crime
343,COUNTERFEITING,Other Crime
409,ILLEGAL POSSESSION,Other Crime
489,VEHICLE - STOLEN,Violent Crime
524,CYBERCRIME,Other Crime
324,SHOPLIFTING,Other Crime
161,DOMESTIC VIOLENCE,Violent Crime
248,BURGLARY,Other Crime
367,ROBBERY,Violent Crime
378,COUNTERFEITING,Other Crime
120,TRAFFIC VIOLATION,Traffic Fatality
567,DRUG OFFENSE,Other Crime
169,BURGLARY,Other Crime
505,COUNTERFEITING,Other Crime
280,IDENTITY THEFT,Violent Crime
456,IDENTITY THEFT,Violent Crime
522,BURGLARY,Other Crime
305,EXTORTION,Other Crime
491,DOMESTIC VIOLENCE,Violent Crime
219,PUBLIC INTOXICATION,Other Crime
505,SHOPLIFTING,Other Crime
500,FIREARM OFFENSE,Fire Accident
129,KIDNAPPING,Other Crime
213,VEHICLE - STOLEN,Violent Crime
267,FRAUD,Other Crime
371,VEHICLE - STOLEN,Violent Crime
481,COUNTERFEITING,Other Crime
532,SHOPLIFTING,Other Crime
342,ROBBERY,Violent Crime
237,DOMESTIC VIOLENCE,Violent Crime
205,ROBBERY,Violent Crime
142,SEXUAL ASSAULT,Violent Crime
367,BURGLARY,Other Crime
163,KIDNAPPING,Other Crime
342,TRAFFIC VIOLATION,Traffic Fatality
539,ILLEGAL POSSESSION,Other Crime
176,CYBERCRIME,Other Crime
566,EXTORTION,Other Crime
250,FIREARM OFFENSE,Fire Accident
557,ILLEGAL POSSESSION,Other Crime
471,BURGLARY,Other Crime
232,IDENTITY THEFT,Violent Crime
456,ILLEGAL POSSESSION,Other Crime
467,BURGLARY,Other Crime
598,SEXUAL ASSAULT,Violent Crime
368,FRAUD,Other Crime
523,BURGLARY,Other Crime
319,ROBBERY,Violent Crime
300,PUBLIC INTOXICATION,Other Crime
298,BURGLARY,Other Crime
217,DRUG OFFENSE,Other Crime
357,VANDALISM,Other Crime
196,FIREARM OFFENSE,Fire Accident
588,SEXUAL ASSAULT,Violent Crime
502,VEHICLE - STOLEN,Violent Crime
242,ILLEGAL POSSESSION,Other Crime
556,SEXUAL ASSAULT,Violent Crime
567,KIDNAPPING,Other Crime
571,VEHICLE - STOLEN,Violent Crime
253,COUNTERFEITING,Other Crime
117,SEXUAL ASSAULT,Violent Crime
118,IDENTITY THEFT,Violent Crime
551,FIREARM OFFENSE,Fire Accident
388,ROBBERY,Violent Crime
192,CYBERCRIME,Other Crime
292,CYBERCRIME,Other Crime
569,BURGLARY,Other Crime
421,VANDALISM,Other Crime
283,ARSON,Fire Accident
398,CYBERCRIME,Other Crime
284,COUNTERFEITING,Other Crime
281,FRAUD,Other Crime
561,SHOPLIFTING,Other Crime
441,COUNTERFEITING,Other Crime
161,DOMESTIC VIOLENCE,Violent Crime
154,FRAUD,Other Crime
518,ARSON,Fire Accident
208,FRAUD,Other Crime
354,DRUG OFFENSE,Other Crime
471,ARSON,Fire Accident
576,TRAFFIC VIOLATION,Traffic Fatality
462,COUNTERFEITING,Other Crime
594,ILLEGAL POSSESSION,Other Crime
182,PUBLIC INTOXICATION,Other Crime
426,COUNTERFEITING,Other Crime
570,FIREARM OFFENSE,Fire Accident
412,SEXUAL ASSAULT,Violent Crime
201,ROBBERY,Violent Crime
571,BURGLARY,Other Crime
398,SHOPLIFTING,Other Crime
471,BURGLARY,Other Crime
552,SEXUAL ASSAULT,Violent Crime
115,HOMICIDE,Other Crime
296,VEHICLE - STOLEN,Violent Crime
423,FRAUD,Other Crime
189,TRAFFIC VIOLATION,Traffic Fatality
380,BURGLARY,Other Crime
167,EXTORTION,Other Crime
242,CYBERCRIME,Other Crime
366,IDENTITY THEFT,Violent Crime
305,COUNTERFEITING,Other Crime
510,SHOPLIFTING,Other Crime
528,DRUG OFFENSE,Other Crime
283,VANDALISM,Other Crime
316,VEHICLE - STOLEN,Violent Crime
288,IDENTITY THEFT,Violent Crime
515,FIREARM OFFENSE,Fire Accident
529,VEHICLE - STOLEN,Violent Crime
444,BURGLARY,Other Crime
401,BURGLARY,Other Crime
580,ARSON,Fire Accident
408,SHOPLIFTING,Other Crime
485,IDENTITY THEFT,Violent Crime
541,ASSAULT,Violent Crime
522,SHOPLIFTING,Other Crime
334,CYBERCRIME,Other Crime
464,HOMICIDE,Other Crime
402,SEXUAL ASSAULT,Violent Crime
372,COUNTERFEITING,Other Crime
508,ARSON,Fire Accident
210,DRUG OFFENSE,Other Crime
389,KIDNAPPING,Other Crime
374,PUBLIC INTOXICATION,Other Crime
597,EXTORTION,Other Crime
510,COUNTERFEITING,Other Crime
404,COUNTERFEITING,Other Crime
454,FRAUD,Other Crime
360,FIREARM OFFENSE,Fire Accident
371,HOMICIDE,Other Crime
520,FIREARM OFFENSE,Fire Accident
128,SEXUAL ASSAULT,Violent Crime
259,ROBBERY,Violent Crime
131,ARSON,Fire Accident
428,COUNTERFEITING,Other Crime
336,VEHICLE - STOLEN,Violent Crime
369,SHOPLIFTING,Other Crime
460,HOMICIDE,Other Crime
252,VANDALISM,Other Crime
137,COUNTERFEITING,Other Crime
407,VANDALISM,Other Crime
423,KIDNAPPING,Other Crime
395,FIREARM OFFENSE,Fire Accident
466,DOMESTIC VIOLENCE,Violent Crime
403,HOMICIDE,Other Crime
129,COUNTERFEITING,Other Crime
203,VEHICLE - STOLEN,Violent Crime
564,EXTORTION,Other Crime
265,SEXUAL ASSAULT,Violent Crime
336,IDENTITY THEFT,Violent Crime
273,ILLEGAL POSSESSION,Other Crime
311,ARSON,Fire Accident
398,COUNTERFEITING,Other Crime
186,CYBERCRIME,Other Crime
337,KIDNAPPING,Other Crime
195,PUBLIC INTOXICATION,Other Crime
213,VEHICLE - STOLEN,Violent Crime
181,BURGLARY,Other Crime
536,ILLEGAL POSSESSION,Other Crime
384,ASSAULT,Violent Crime
577,ASSAULT,Violent Crime
418,FIREARM OFFENSE,Fire Accident
262,ILLEGAL POSSESSION,Other Crime
520,SEXUAL ASSAULT,Violent Crime
377,ROBBERY,Violent Crime
351,TRAFFIC VIOLATION,Traffic Fatality
367,KIDNAPPING,Other Crime
316,KIDNAPPING,Other Crime
465,TRAFFIC VIOLATION,Traffic Fatality
415,ROBBERY,Violent Crime
290,ROBBERY,Violent Crime
585,PUBLIC INTOXICATION,Other Crime
212,VANDALISM,Other Crime
342,VANDALISM,Other Crime
293,SHOPLIFTING,Other Crime
341,PUBLIC INTOXICATION,Other Crime
458,VANDALISM,Other Crime
514,KIDNAPPING,Other Crime
306,VEHICLE - STOLEN,Violent Crime
176,SEXUAL ASSAULT,Violent Crime
474,FIREARM OFFENSE,Fire Accident
461,ASSAULT,Violent Crime
495,CYBERCRIME,Other Crime
264,ARSON,Fire Accident
386,VEHICLE - STOLEN,Violent Crime
280,DRUG OFFENSE,Other Crime
589,IDENTITY THEFT,Violent Crime
522,FIREARM OFFENSE,Fire Accident
224,VEHICLE - STOLEN,Violent Crime
333,IDENTITY THEFT,Violent Crime
293,ROBBERY,Violent Crime
154,FIREARM OFFENSE,Fire Accident
355,PUBLIC INTOXICATION,Other Crime
196,VANDALISM,Other Crime
377,EXTORTION,Other Crime
342,BURGLARY,Other Crime
574,DRUG OFFENSE,Other Crime
264,PUBLIC INTOXICATION,Other Crime
253,ARSON,Fire Accident
273,BURGLARY,Other Crime
299,SHOPLIFTING,Other Crime
572,KIDNAPPING,Other Crime
320,IDENTITY THEFT,Violent Crime
500,ROBBERY,Violent Crime
452,CYBERCRIME,Other Crime
491,VEHICLE - STOLEN,Violent Crime
515,EXTORTION,Other Crime
509,SHOPLIFTING,Other Crime
202,PUBLIC INTOXICATION,Other Crime
337,TRAFFIC VIOLATION,Traffic Fatality
375,DOMESTIC VIOLENCE,Violent Crime
527,IDENTITY THEFT,Violent Crime
397,SHOPLIFTING,Other Crime
188,HOMICIDE,Other Crime
287,ROBBERY,Violent Crime
425,VEHICLE - STOLEN,Violent Crime
297,TRAFFIC VIOLATION,Traffic Fatality
459,CYBERCRIME,Other Crime
486,ROBBERY,Violent Crime
101,BURGLARY,Other Crime
313,CYBERCRIME,Other Crime
232,EXTORTION,Other Crime
109,BURGLARY,Other Crime
514,FRAUD,Other Crime
501,COUNTERFEITING,Other Crime
511,FIREARM OFFENSE,Fire Accident
253,EXTORTION,Other Crime
329,DRUG OFFENSE,Other Crime
120,PUBLIC INTOXICATION,Other Crime
461,DRUG OFFENSE,Other Crime
402,COUNTERFEITING,Other Crime
400,EXTORTION,Other Crime
220,IDENTITY THEFT,Violent Crime
489,ILLEGAL POSSESSION,Other Crime
399,DOMESTIC VIOLENCE,Violent Crime
184,ROBBERY,Violent Crime
374,PUBLIC INTOXICATION,Other Crime
391,PUBLIC INTOXICATION,Other Crime
202,TRAFFIC VIOLATION,Traffic Fatality
187,HOMICIDE,Other Crime
427,COUNTERFEITING,Other Crime
462,SHOPLIFTING,Other Crime
296,SHOPLIFTING,Other Crime
501,CYBERCRIME,Other Crime
267,CYBERCRIME,Other Crime
182,CYBERCRIME,Other Crime
379,SHOPLIFTING,Other Crime
455,ROBBERY,Violent Crime
325,BURGLARY,Other Crime
298,CYBERCRIME,Other Crime
470,DOMESTIC VIOLENCE,Violent Crime
382,PUBLIC INTOXICATION,Other Crime
580,FIREARM OFFENSE,Fire Accident
354,DRUG OFFENSE,Other Crime
506,BURGLARY,Other Crime
570,COUNTERFEITING,Other Crime
129,ASSAULT,Violent Crime
529,ASSAULT,Violent Crime
404,CYBERCRIME,Other Crime
221,IDENTITY THEFT,Violent Crime
226,COUNTERFEITING,Other Crime
203,HOMICIDE,Other Crime
431,VANDALISM,Other Crime
269,BURGLARY,Other Crime
303,SEXUAL ASSAULT,Violent Crime
564,BURGLARY,Other Crime
495,EXTORTION,Other Crime
293,SEXUAL ASSAULT,Violent Crime
497,EXTORTION,Other Crime
447,VEHICLE - STOLEN,Violent Crime
264,IDENTITY THEFT,Violent Crime
379,COUNTERFEITING,Other Crime
230,COUNTERFEITING,Other Crime
547,HOMICIDE,Other Crime
544,ASSAULT,Violent Crime
176,SHOPLIFTING,Other Crime
168,SHOPLIFTING,Other Crime
371,BURGLARY,Other Crime
278,IDENTITY THEFT,Violent Crime
386,VEHICLE - STOLEN,Violent Crime
447,SEXUAL ASSAULT,Violent Crime
380,ARSON,Fire Accident
360,TRAFFIC VIOLATION,Traffic Fatality
172,TRAFFIC VIOLATION,Traffic Fatality
529,PUBLIC INTOXICATION,Other Crime
396,KIDNAPPING,Other Crime
134,CYBERCRIME,Other Crime
174,PUBLIC INTOXICATION,Other Crime
587,FIREARM OFFENSE,Fire Accident
527,COUNTERFEITING,Other Crime
268,HOMICIDE,Other Crime
542,SEXUAL ASSAULT,Violent Crime
538,VANDALISM,Other Crime
546,SEXUAL ASSAULT,Violent Crime
361,IDENTITY THEFT,Violent Crime
489,BURGLARY,Other Crime
365,CYBERCRIME,Other Crime
355,CYBERCRIME,Other Crime
217,PUBLIC INTOXICATION,Other Crime
422,VANDALISM,Other Crime
361,ARSON,Fire Accident
158,ILLEGAL POSSESSION,Other Crime
458,IDENTITY THEFT,Violent Crime
593,SEXUAL ASSAULT,Violent Crime
359,SHOPLIFTING,Other Crime
381,ARSON,Fire Accident
453,ROBBERY,Violent Crime
418,DOMESTIC VIOLENCE,Violent Crime
347,BURGLARY,Other Crime
570,FIREARM OFFENSE,Fire Accident
574,BURGLARY,Other Crime
592,FRAUD,Other Crime
218,DOMESTIC VIOLENCE,Violent Crime
386,CYBERCRIME,Other Crime
301,ROBBERY,Violent Crime
302,VANDALISM,Other Crime
415,PUBLIC INTOXICATION,Other Crime
148,SEXUAL ASSAULT,Violent Crime
253,DOMESTIC VIOLENCE,Violent Crime
517,ILLEGAL POSSESSION,Other Crime
149,VEHICLE - STOLEN,Violent Crime
544,HOMICIDE,Other Crime
106,TRAFFIC VIOLATION,Traffic Fatality
599,SHOPLIFTING,Other Crime
105,VEHICLE - STOLEN,Violent Crime
186,ARSON,Fire Accident
530,FIREARM OFFENSE,Fire Accident
593,PUBLIC INTOXICATION,Other Crime
125,KIDNAPPING,Other Crime
384,FIREARM OFFENSE,Fire Accident
420,ASSAULT,Violent Crime
154,KIDNAPPING,Other Crime
436,VANDALISM,Other Crime
403,ARSON,Fire Accident
517,COUNTERFEITING,Other Crime
254,ROBBERY,Violent Crime
333,PUBLIC INTOXICATION,Other Crime
454,EXTORTION,Other Crime
401,KIDNAPPING,Other Crime
206,PUBLIC INTOXICATION,Other Crime
515,DRUG OFFENSE,Other Crime
546,CYBERCRIME,Other Crime
560,EXTORTION,Other Crime
284,ASSAULT,Violent Crime
529,KIDNAPPING,Other Crime
453,ROBBERY,Violent Crime
337,ROBBERY,Violent Crime
436,BURGLARY,Other Crime
433,BURGLARY,Other Crime
378,ARSON,Fire Accident
299,VANDALISM,Other Crime
292,PUBLIC INTOXICATION,Other Crime
428,COUNTERFEITING,Other Crime
502,DOMESTIC VIOLENCE,Violent Crime
392,ARSON,Fire Accident
471,SEXUAL ASSAULT,Violent Crime
439,FRAUD,Other Crime
242,FRAUD,Other Crime
355,SHOPLIFTING,Other Crime
317,BURGLARY,Other Crime
414,VANDALISM,Other Crime
131,COUNTERFEITING,Other Crime
193,VEHICLE - STOLEN,Violent Crime
339,ASSAULT,Violent Crime
357,ILLEGAL POSSESSION,Other Crime
173,VEHICLE - STOLEN,Violent Crime
471,FRAUD,Other Crime
